Unnamed: 0,FileName,PortionType,FoodCode,Main Food description,Portion,Multiplier,Rank,PortionCode,PortionSubCode,Link,GPTFoodDescription,GPTFoodCode,retrieval_score_avg,retrieval_score_top1,retrieval_score_spread,LabelAmount,LabelUnit,PortionShot,GPTPortionDescription,GPTPortionReason,GPTPortionAmount,GPTPortionAmountReason,BaseUnit,Portion weight (g),CalculatedWeight,CalculatedWeightGPT,Energy (kcal),Energy (kcal)_GPT,Protein (g),Protein (g)_GPT,Carbohydrate (g),Carbohydrate (g)_GPT,Total Fat (g),Total Fat (g)_GPT
63,042908424.png,largest,74402150,"Salsa, red",1 packet,1.0,25,61573,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/042908424.png,"Appears to be a bottle of tomato ketchup — likely a commercial brand (e.g., Heinz-style) condiment.",['74401010'],1.0441688984632491,0.8275882601737976,0.0704462408743862,1.0,packet,"1 packet ,1 tablespoon ,2 tablespoons ,3 tablespoons ,1/4 cup ,1/3 cup ,1/2 cup",,,1,,packet,9.0,9.0,9.0,3.06,3.06,0.1296,0.1296,0.6066,0.6066,0.0171,0.0171
64,113097c.png,median,74402150,"Salsa, red",1/4 cup,0.25,25,10205,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/113097c.png,Appears to be a small measuring cup filled with a red sauce—likely tomato sauce (marinara) or ketchup.,['74401010'],1.0550515661636988,0.8263229131698608,0.0843276814607537,0.25,cup,"1 packet ,1 tablespoon ,2 tablespoons ,3 tablespoons ,1/4 cup ,1/3 cup ,1/2 cup",1/4 cup,,1,,cup,256.0,64.0,256.0,21.76,87.04,0.9216,3.6864,4.3136,17.2544,0.1216,0.4864
65,113091c.png,smallest,74402150,"Salsa, red",1 tablespoon,0.0625,25,10205,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/113091c.png,Appears to be a spoonful of a red sauce — likely tomato-based ketchup or a smooth red chili/tomato sauce.,['74401010'],1.096822442114353,0.784635603427887,0.0946559567408887,1.0,tablespoon,"1 packet ,1 tablespoon ,2 tablespoons ,3 tablespoons ,1/4 cup ,1/3 cup ,1/2 cup",1 tablespoon,,1,,tablespoon,16.0,16.0,16.0,5.44,5.44,0.2304,0.2304,1.0784,1.0784,0.0304,0.0304
66,052809113.png,largest,51301010,"Bread, wheat or cracked wheat",1 slice,19.643,26,51000,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/052809113.png,Likely a single piece of toasted bread — a small baguette/roll slice or plain toast (similar to a crouton or bruschetta base).,['51107040'],1.0505601853132247,0.8602522015571594,0.077409610815452,1.0,slice,"1 slice ,3/4 slice ,1/2 slice ,1/4 slice",1 slice,,1,,slice,10.0,10.0,10.0,27.4,27.4,1.067,1.067,4.754,4.754,0.453,0.453
67,030309117.png,median,51301010,"Bread, wheat or cracked wheat",1 slice,4.5,26,51000,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/030309117.png,A single slice of toasted bread on a plate — likely a lightly toasted whole wheat/wholemeal slice.,['51300120'],0.8959505046407382,0.7016230225563049,0.0622329348460213,1.0,slice,"1 slice ,3/4 slice ,1/2 slice ,1/4 slice",1 slice,,1,,slice,10.0,10.0,10.0,27.4,27.4,1.067,1.067,4.754,4.754,0.453,0.453
68,030409101.png,smallest,51301010,"Bread, wheat or cracked wheat",1 slice,0.125,26,61813,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/030409101.png,Appears to be a single slice of toast — likely a lightly toasted whole wheat (brown) bread slice.,['51300120'],0.8914883390069008,0.7444627285003662,0.062215236746029,1.0,slice,"1 slice ,3/4 slice ,1/2 slice ,1/4 slice",1 slice,,1,,slice,10.0,10.0,10.0,27.4,27.4,1.067,1.067,4.754,4.754,0.453,0.453
70,100907152.png,median,53206000,"Cookie, chocolate chip",1 cup,1.0,27,10023,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/100907152.png,Likely mini chocolate chip cookies — bite-sized classic chocolate chip cookies with visible chocolate chips.,['53206000'],1.031064905722936,0.833733081817627,0.0762324062603886,1.0,cup,"1 small cookie ,1 medium size ,1 large size ,1 big cookie ,1/2 big size ,5 cookies ,10 cookies ,1/4 cup ,1/2 cup ,3/4 cup ,1 cup",1 cup,,1,,cup,81.0,81.0,81.0,398.52,398.52,4.130999999999999,4.130999999999999,52.9416,52.9416,20.0232,20.0232
71,100907149.png,smallest,53206000,"Cookie, chocolate chip",1/4 cup,0.25,27,10023,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/100907149.png,"Appears to be mini chocolate‑chip cookies — small drop cookies with chocolate chips, likely store‑bought or homemade mini choc‑chip cookies.","['53206000', '53206020']",1.0370561371246974,0.7686678171157837,0.083980922920967,0.25,cup,"1 small cookie ,1 medium size ,1 large size ,1 big cookie ,1/2 big size ,5 cookies ,10 cookies ,1/4 cup ,1/2 cup ,3/4 cup ,1 cup",5 cookies,,0.2,,cup,81.0,20.25,16.2,99.63,79.704,1.0327499999999998,0.8261999999999999,13.2354,10.58832,5.0058,4.004639999999999
75,073002160.png,largest,75117020,"Onions, raw",2 cups,2.0,30,10010,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/073002160.png,Likely diced red radish — possibly pickled (pink-tinted) or raw pieces with the red skin still attached.,"['75125000', '75512010']",1.210343379775683,1.0076494216918943,0.0800592862804317,2.0,cup,"1 piece ,1/4 cup ,1/2 cup ,3/4 cup ,1 cup ,1-1/4 cups ,1-1/2 cups ,1-3/4 cups ,2 cups ,1 medium slice ,1 whole vegetable ,3/4 whole vegetable ,1/2 whole vegetable ,1/4 whole vegetable ,1 slice ,1 medium whole vegetable ,3/4 medium whole vegetable ,1/2 medium whole vegetable ,1/4 medium whole vegetable ,1 large whole vegetable ,1 small whole vegetable",1/2 cup,,1,,cup,160.0,320.0,160.0,121.6,60.8,2.752,1.376,27.072000000000003,13.536,0.256,0.128
76,073002155.png,median,75117020,"Onions, raw",3/4 cup,0.75,30,10010,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/073002155.png,"Likely diced pickled red onion (or possibly small cubes of pink pickled radish/daikon) — appears to be quick‑pickled, giving the translucent pale‑pink color.",['75512010'],1.1404651939868926,0.9987907409667968,0.0585574840094974,0.75,cup,"1 piece ,1/4 cup ,1/2 cup ,3/4 cup ,1 cup ,1-1/4 cups ,1-1/2 cups ,1-3/4 cups ,2 cups ,1 medium slice ,1 whole vegetable ,3/4 whole vegetable ,1/2 whole vegetable ,1/4 whole vegetable ,1 slice ,1 medium whole vegetable ,3/4 medium whole vegetable ,1/2 medium whole vegetable ,1/4 medium whole vegetable ,1 large whole vegetable ,1 small whole vegetable",1/4 cup,,0.25,,cup,160.0,120.0,40.0,45.6,15.2,1.032,0.344,10.152,3.3840000000000003,0.096,0.032
81,020309403.png,largest,81101000,"Butter, stick",2 tablespoons,2.0,32,21000,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/020309403.png,No appropriate food codes found from the context information.,,,,,2.0,tablespoon,"1 pat ,2 tablespoons ,1-1/2 tablespoons ,1 tablespoon ,2 teaspoons ,1 teaspoon ,1/2 teaspoon",1 tablespoon,,1,,tablespoon,14.0,28.0,14.0,208.04,104.02,0.238,0.119,0.0168,0.0084,23.016,11.508
82,020309405.png,median,81101000,"Butter, stick",1 tablespoon,1.0,32,21000,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/020309405.png,Appears to be a small measuring spoon holding a white granular powder — likely granulated sugar or table salt (can't reliably distinguish between them from the image).,['91101010'],1.23421776642402,0.91562157869339,0.1303392416877436,1.0,tablespoon,"1 pat ,2 tablespoons ,1-1/2 tablespoons ,1 tablespoon ,2 teaspoons ,1 teaspoon ,1/2 teaspoon",1 tablespoon,,1,,tablespoon,14.0,14.0,14.0,104.02,104.02,0.119,0.119,0.0084,0.0084,11.508,11.508
90,071602147.png,largest,63223020,"Strawberries, raw",2 cups,2.0,35,10010,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/071602147.png,Fresh whole strawberries in a bowl — ripe strawberries (likely common garden/classic strawberries).,['63223020'],1.1361501678824424,0.9212644100189208,0.0637659229141714,2.0,cup,"1/4 cup ,1/2 cup ,3/4 cup ,1 cup ,1-1/4 cups ,1-1/2 cups ,1-3/4 cups ,2 cups ,1 piece",1 cup,,1,,cup,150.0,300.0,150.0,105.0,52.5,1.92,0.96,22.89,11.445,0.66,0.33
92,071602140.png,smallest,63223020,"Strawberries, raw",1/4 cup,0.25,35,10010,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/071602140.png,Appears to be two fresh whole strawberries (likely common garden strawberries) in a small white bowl.,['63223020'],1.1380655546983085,0.9626017212867736,0.0645963980369817,0.25,cup,"1/4 cup ,1/2 cup ,3/4 cup ,1 cup ,1-1/4 cups ,1-1/2 cups ,1-3/4 cups ,2 cups ,1 piece",1/4 cup,,,,cup,150.0,37.5,,13.125,,0.24,,2.86125,,0.0825,
99,121709417.png,largest,42202000,Peanut butter,3 tablespoons,3.0,38,21000,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/121709417.png,Appears to be creamy (smooth) peanut butter — likely a smooth nut butter (could also be almond or cashew butter) placed in measuring spoons.,['42202000'],1.0747784515221914,0.9363924264907836,0.0601413696561755,3.0,tablespoon,"3 tablespoons ,2-1/2 tablespoons ,2 tablespoons ,1-1/2 tablespoons ,1 tablespoon ,2 teaspoons ,1 teaspoon",,"Error code: 400 - {'error': {'message': ""We could not parse the JSON body of your request. (HINT: This likely means you aren't using your HTTP library correctly. The OpenAI API expects a JSON payload, but what was sent was not valid JSON. If you have trouble figuring out how to fix this, please contact us through our help center at help.openai.com.)"", 'type': 'invalid_request_error', 'param': None, 'code': None}}",3,,tablespoon,16.0,48.0,48.0,306.72,306.72,10.8,10.8,10.704,10.704,24.528,24.528
100,121709420.png,median,42202000,Peanut butter,1-1/2 tablespoons,1.5,38,21000,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/121709420.png,"Likely creamy (smooth) peanut butter in two spoons — could also be a similar smooth nut/tahini paste, but most consistent with peanut butter.",['42202000'],1.0957550351818404,0.9535835385322572,0.0594219334196913,1.5,tablespoon,"3 tablespoons ,2-1/2 tablespoons ,2 tablespoons ,1-1/2 tablespoons ,1 tablespoon ,2 teaspoons ,1 teaspoon",2 tablespoons,,2,,tablespoon,16.0,24.0,32.0,153.36,204.48,5.4,7.2,5.352,7.136,12.264,16.352
103,102908132.png,median,25230210,"Ham, prepackaged or deli, luncheon meat",1 cup,1.0,39,10129,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/102908132.png,"Likely diced/cubed cooked ham — possibly processed luncheon meat (e.g., Spam or canned ham) cut into small squares.",['22311500'],0.9940239921212196,0.7664594650268555,0.07883283060385,1.0,cup,"8 ounces ,7 ounces ,6 ounces ,5 ounces ,4 ounces ,3 ounces ,2 ounces ,1 ounce ,1/8 cup ,1/4 cup ,3/8 cup ,1/2 cup ,5/8 cup ,3/4 cup ,7/8 cup ,1 cup",3/4 cup,,1,,cup,140.0,140.0,140.0,141.4,141.4,23.38,23.38,0.378,0.378,5.222,5.222
104,102908125.png,smallest,25230210,"Ham, prepackaged or deli, luncheon meat",1/8 cup,0.125,39,10129,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/102908125.png,"Likely diced/finely sliced processed ham or luncheon meat (e.g., Spam or bologna).",['25230210'],0.9777271623412768,0.7070538401603699,0.0831297049509417,0.125,cup,"8 ounces ,7 ounces ,6 ounces ,5 ounces ,4 ounces ,3 ounces ,2 ounces ,1 ounce ,1/8 cup ,1/4 cup ,3/8 cup ,1/2 cup ,5/8 cup ,3/4 cup ,7/8 cup ,1 cup",1/8 cup,,,,cup,140.0,17.5,,17.675,,2.9225,,0.04725,,0.65275,
111,072908421.png,largest,14010000,"Cheese, not further specified subcategory assigned",1 slice,2.5,42,51000,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/072908421.png,Likely a single slice of processed American-style cheese (cheddar-colored) on a plate.,['14410110'],1.016665077706178,0.8659753799438477,0.0445307332642128,1.0,slice,"1 slice ,1/8 cup ,1/4 cup ,3/8 cup ,1/2 cup ,5/8 cup ,3/4 cup ,7/8 cup ,1 cup",1 slice,,1,,slice,21.0,21.0,21.0,77.28,77.28,4.288200000000001,4.288200000000001,1.05,1.05,6.2202,6.2202
112,091002456.png,median,14010000,"Cheese, not further specified subcategory assigned",3/4 cup,0.8761,42,10205,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/091002456.png,Likely cubed cheddar cheese — snack-sized cheddar (mild/medium) cheese cubes.,['14104100'],1.0659082194169365,0.939146876335144,0.0452659021122184,0.75,cup,"1 slice ,1/8 cup ,1/4 cup ,3/8 cup ,1/2 cup ,5/8 cup ,3/4 cup ,7/8 cup ,1 cup",,,,,cup,113.0,84.75,,311.88,,17.305950000000003,,4.2375,,25.10295,
113,081108403.png,smallest,14010000,"Cheese, not further specified subcategory assigned",1/8 cup,0.125,42,10205,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/081108403.png,Appears to be a small pile of shredded orange cheddar-style cheese — likely shredded cheddar or a Colby/cheddar blend.,['14104250'],1.02100420743227,0.8591123223304749,0.050326926322729,0.125,cup,"1 slice ,1/8 cup ,1/4 cup ,3/8 cup ,1/2 cup ,5/8 cup ,3/4 cup ,7/8 cup ,1 cup",1/8 cup,,0.125,,cup,113.0,14.125,14.125,51.98,51.98,2.884325,2.884325,0.70625,0.70625,4.183825,4.183825
123,101409112.png,largest,75111000,"Cucumber, raw",6 pieces,6.0,47,62251,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/101409112.png,Appears to be green asparagus spears — likely blanched or steamed and simply plated.,['75202011'],1.0541495909293492,0.902021586894989,0.0809017072964519,6.0,piece,"1/4 cup ,1/2 cup ,3/4 cup ,1 cup ,1-1/4 cups ,1-1/2 cups ,1-3/4 cups ,2 cups ,1 whole vegetable ,1 slice ,6 pieces ,5 pieces ,4 pieces ,3 pieces ,2 pieces ,1 piece",6 pieces,,6,,piece,10.0,60.0,60.0,9.0,9.0,0.39,0.39,2.178,2.178,0.066,0.066
132,050908437.png,largest,12210400,"Coffee creamer, powder",1 packet,1.0,52,61573,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/050908437.png,Likely a prepackaged crème caramel (caramel custard/flan) dessert — a custard pudding with caramel sauce.,['13210350'],1.0908689533670743,0.8745146989822388,0.0713331153794071,1.0,packet,"6 tablespoons ,5 tablespoons ,4 tablespoons ,3 tablespoons ,2 tablespoons ,1 tablespoon ,2 teaspoons ,1 teaspoon ,1 packet",1 packet,,1,,packet,3.0,3.0,3.0,15.87,15.87,0.0744,0.0744,1.7787000000000002,1.7787000000000002,0.9876,0.9876
137,031809110.png,smallest,22600200,"Pork bacon, not specified subcategory as to fresh, smoked or cured, cooked",1/4 cup,0.25,53,10129,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/031809110.png,"Appears to be diced roasted red bell pepper (pimiento) — likely roasted or jarred, cut into small pieces.",['75226700'],1.1387523079911868,0.9082075953483582,0.0761049096721963,0.25,cup,"1 slice ,2 slices ,3 slices ,1/4 cup ,1/2 cup ,3/4 cup ,1 cup",1/4 cup,,0.125,,cup,80.0,20.0,10.0,96.8,48.4,7.481999999999999,3.741,0.38,0.19,7.16,3.58
