FileName,PortionType,FoodCodeCommon,Main Food description,Portion,Multiplier,Rank,PortionCode,PortionSubCode,Link,GPTFoodDescription,GPTFoodCode,retrieval_score_avg,retrieval_score_top1,retrieval_score_spread
111903053.png,smallest,91101010,"Sugar, white, granulated or lump",1 cube,0.5,5,61178,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/111903053.png,"Likely a small bowl or cup with a pale liquid (milk, cream, or thin yogurt) and a small white cube in the center — possibly a sugar cube, a small piece of soft tofu, or a cube of butter.",['41420010'],1.092557274,1.016456842,0.036318928
cp_42fo.png,largest,92410310,"Soft drink, cola",42 FO,42,6,30000,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/cp_42fo.png,Appears to be a disposable cup (foam or paper) with a purple hexagonal pattern — no visible food inside.,['92101000'],1.029382246,0.748387635,0.119311948
cp_42fo.png,median,92410310,"Soft drink, cola",42 FO,4.2,6,30000,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/cp_42fo.png,"Appears to be a disposable foam/paper drink cup (likely used for soft drinks, water, or a milkshake). No actual food is visible inside.",['92410310'],0.918216119,0.6748088,0.092312747
mug_2fo.png,smallest,92410310,"Soft drink, cola",2 FO,0.1,6,30000,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/mug_2fo.png,Appears to be an empty white mug/cup (a coffee or tea cup); no food is visible.,['92101000'],0.974246952,0.778103352,0.099596093
061208121.png,largest,63107010,"Banana, raw",1 extra large fruit,1,7,90000,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/061208121.png,Appears to be a ripe banana (likely the common Cavendish variety) on a plate.,['63107010'],1.105995579,0.888398767,0.086245011
031103263.png,median,63107010,"Banana, raw",3/4 cup,0.75,7,10010,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/031103263.png,"Appears to be sliced banana (banana rounds), likely from a ripe Cavendish-type banana.",['63107010'],1.106162152,0.890732169,0.078705341
061208119.png,smallest,63107010,"Banana, raw",1 medium,0.125,7,63522,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/061208119.png,Appears to be a ripe yellow banana — likely the common Cavendish variety.,['63107010'],1.130402919,0.935907185,0.057575096
101309118.png,largest,75113000,"Lettuce, raw",4 cups,4,8,10160,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/101309118.png,Likely cooked chopped green cabbage — appears to be sautéed/stir‑fried or lightly steamed (simple oil/butter or minimal seasoning).,['75211030'],1.051419452,0.760771751,0.100638384
101309105.png,median,75113000,"Lettuce, raw",5/8 head,0.625,8,61018,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/101309105.png,Likely a wedge of iceberg lettuce — a quarter/half-head iceberg lettuce wedge on a plate.,['75113000'],1.175919919,1.030956388,0.064798961
101309101.png,smallest,75113000,"Lettuce, raw",1 head,0.0625,8,61018,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/101309101.png,Appears to be a head of iceberg (crisphead) lettuce — likely raw and whole.,['75113000'],1.099077333,0.852214158,0.082950755
042908424.png,largest,74401010,Ketchup,1 packet,1,9,61573,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/042908424.png,Appears to be a bottle of tomato ketchup — likely a commercial squeeze bottle (possibly a Heinz-style ketchup).,['74401010'],1.080903146,0.886320651,0.073228406
113097c.png,median,74401010,Ketchup,1/4 cup,0.25,9,10205,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/113097c.png,Looks like a red sauce in a small white measuring cup — likely tomato-based (ketchup or marinara) or possibly a red fruit coulis/jam; exact variety uncertain.,['74401010'],1.086035396,0.851046562,0.113488716
113091c.png,smallest,74401010,Ketchup,1 tablespoon,0.0625,9,10205,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/113091c.png,"Appears to be a spoonful of a red condiment — likely tomato ketchup or a red chili/tomato sauce (e.g., ketchup or chili paste).",['74401010'],1.129421343,0.885386825,0.078092029
091307200.png,largest,74101000,"Tomatoes, raw",6 pieces,6,10,60550,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/091307200.png,Likely five cherry tomatoes (small red tomatoes) on a white plate — possibly grape/pear variety but most likely standard cherry tomatoes.,['53415400'],1.192818118,1.056308031,0.044854171
113138.png,median,74101000,"Tomatoes, raw","1 large (3"" diameter)",1,10,90000,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/113138.png,Appears to be a whole red tomato — likely a beefsteak or heirloom-style tomato.,['74101000'],1.157346255,0.966782928,0.083580135
113138.png,smallest,74101000,"Tomatoes, raw","1 large (3"" diameter)",0.125,10,60929,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/113138.png,Appears to be a whole ripe tomato — likely a globe/ beefsteak–style tomato (raw).,['74101000'],1.109940689,0.918815196,0.061648533
121103107.png,largest,63101000,"Apple, raw",1 medium size,1,11,90000,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/121103107.png,"Appears to be a red apple — likely a sweet dessert variety (e.g., Red Delicious or Fuji).",['63101000'],1.068356109,0.917751074,0.058608125
072402250.png,median,63101000,"Apple, raw",3/4 medium,0.75,11,62016,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/072402250.png,"Appears to be raw red apple slices — likely a common eating apple variety such as Gala or Fuji (fresh, simply cut).",['63101000'],1.100802831,0.922222495,0.074294587
072302205.png,smallest,63101000,"Apple, raw",1 large size,0.125,11,60935,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/072302205.png,"Appears to be a red apple — likely an eating apple variety (e.g., Red Delicious or a similar red cultivar).",['63101000'],1.180918839,0.989569545,0.068812666
cp_42fo.png,largest,92410510,"Soft drink, fruit flavored, caffeine free",42 FO,42,12,30000,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/cp_42fo.png,"Appears to be a disposable foam/paper beverage cup (to‑go drink cup). Contents aren’t visible, so likely used for a soda, iced drink, or milkshake but the specific food/beverage can’t be determined.",['11542200'],0.942461741,0.763621032,0.071297064
cp_42fo.png,median,92410510,"Soft drink, fruit flavored, caffeine free",42 FO,4.2,12,30000,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/cp_42fo.png,"Appears to be a disposable to‑go beverage cup (foam/paper/plastic) with a purple hexagonal print — likely used for a soft drink, milkshake, or other fountain beverage. No visible food or drink inside, so the specific beverage can’t be determined.","['11542200', '92101920', '92102500', '92410510', '92410550', '11553110']",0.996031656,0.69101119,0.106918203
mug_2fo.png,smallest,92410510,"Soft drink, fruit flavored, caffeine free",2 FO,0.1,12,30000,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/mug_2fo.png,Appears to be a plain white ceramic mug/cup (likely for coffee or tea); no food or drink is visible.,['92101500'],0.912137197,0.677605927,0.127645245
092607118.png,largest,71401030,"Potato, french fries, fast food",2 cups,2,13,10324,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/092607118.png,"Likely an onion‑flavored, ring‑shaped puffed corn snack (e.g., Funyuns or similar extruded onion rings) — a crunchy, fried/ puffed snack rather than battered onion rings.",['54406010'],1.028237067,0.678838193,0.079507739
102407110.png,median,71401030,"Potato, french fries, fast food",1 small fast food order,1,13,90000,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/102407110.png,"Appears to be McDonald’s-style fast-food French fries — thin, salted, deep-fried fries in a McDonald’s fry carton.",['71401030'],0.95392994,0.812178671,0.059100507
000000000.png,smallest,71401030,"Potato, french fries, fast food",,0.1,13,62493,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/000000000.png,"The supplied image is a ""No image available"" placeholder, so there is no actual food photo to identify.",,,,
113096.png,largest,83107000,"Mayonnaise, regular",6 tablespoons,6,14,21000,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/113096.png,"Appears to be six measuring spoons each holding a light beige powder — likely a flour or fine ground ingredient (e.g., all‑purpose flour, almond meal, or finely ground breadcrumbs).",['99995000'],1.175321626,0.996337712,0.062199538
113092.png,median,83107000,"Mayonnaise, regular",2 tablespoons,2,14,21000,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/113092.png,Appears to be a pale beige powdered spice — likely ground ginger (ginger powder).,['75503085'],1.375436634,1.147902846,0.089342344
113089.png,smallest,83107000,"Mayonnaise, regular",1 teaspoon,0.3333,14,21000,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/113089.png,Likely a small spoonful of ghee (clarified butter) or melted butter — appears to be a smooth yellow spread in a ceramic/pouring spoon.,['81204000'],1.18862808,0.912544847,0.091149482
052109121.png,largest,51101000,"Bread, white",1 slice,19.643,15,51000,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/052109121.png,Appears to be a single slice of white sandwich bread — likely a soft loaf such as brioche or milk (Hokkaido-style) bread.,['51101000'],1.083484749,0.910776436,0.081193317
052109117.png,median,51101000,"Bread, white",1 slice,3.1428,15,51000,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/052109117.png,"Appears to be a single slice of bread—likely a white or country-style (sourdough/artisan) slice, lightly toasted.",['51133020'],0.935305354,0.780536652,0.069660269
050311101.png,smallest,51101000,"Bread, white",1 slice,0.125,15,62350,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/050311101.png,"Appears to be a single slice of pound cake (a buttery loaf cake) — dense, fine yellow crumb with golden-brown edges. Could possibly be an enriched bread like brioche or a slice of sweet sandwich loaf if less sweet.",['53116000'],1.139551556,0.899286985,0.049659389
cp_42fo.png,largest,11112210,"Milk, low fat (1%)",42 FO,42,17,30000,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/cp_42fo.png,Appears to be a disposable single‑use cup (paper or foam) with a purple hexagon pattern — not a visible food item. Possibly used for beverages (soda/coffee/water).,['92101000'],0.99867228,0.80269587,0.111383782
mlkbottle_11fo.png,median,11112210,"Milk, low fat (1%)",11 FO,4.4,17,30000,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/mlkbottle_11fo.png,"Appears to be a small plastic bottle of milk or a drinkable yogurt (e.g., kefir/laban) — likely plain white dairy beverage.",['11115400'],1.013536748,0.833409488,0.066579822
121807120.png,smallest,11112210,"Milk, low fat (1%)",1 tablespoon,0.0625,17,10205,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/121807120.png,"Appears to be a white ceramic spoon holding a small amount of a white liquid—likely milk or a dairy cream (e.g., heavy cream) or a similar non-dairy liquid such as coconut milk or sweetened condensed milk.",['12100100'],1.059693777,0.803306103,0.085135479
113090a.png,largest,75506010,Mustard,2 teaspoons,2,20,22000,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/113090a.png,Likely a smooth yellow‑orange puree — appears to be pumpkin or butternut squash puree (could also be carrot‑ginger or mango puree depending on sweet vs. savory seasoning).,['73502000'],1.202465943,1.082749605,0.054194908
000000000.png,median,75506010,Mustard,,0.1563,20,10205,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/000000000.png,"The provided image is a ""No image available"" placeholder, so there is no actual food photo to identify.",,,,
113091a.png,smallest,75506010,Mustard,1 tablespoon,0.0625,20,10205,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/113091a.png,Likely ground turmeric (turmeric powder) in a measuring spoon — could also be ground mustard or a yellow curry powder.,['75506010'],1.370423802,1.207961202,0.052177032
cp_42fo.png,largest,92530610,"Fruit juice drink, with high vitamin C",42 FO,42,21,30000,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/cp_42fo.png,Appears to be a disposable fast‑food drink cup — likely used for a fountain soft drink (or iced tea/water/milkshake). The exact beverage inside can't be determined from the cup alone.,['92410550'],0.855010959,0.643705547,0.114799371
tcup_6fo.png,median,92530610,"Fruit juice drink, with high vitamin C",6 FO,4.2,21,30000,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/tcup_6fo.png,Appears to be an empty porcelain teacup (decorative china) — no food or beverage visible.,['92302000'],1.086724856,0.888060689,0.086914802
mug_2fo.png,smallest,92530610,"Fruit juice drink, with high vitamin C",2 FO,0.1,21,30000,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/mug_2fo.png,"This appears to be a white ceramic mug (cup), not a food item — likely used for serving coffee or tea.",['92101000'],1.043829387,0.75752449,0.132980202
071602103.png,largest,63123000,"Grapes, raw",1 cup,1,22,10010,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/071602103.png,"Appears to be a bowl of green table grapes — likely seedless (e.g., Thompson/Sultana-type) grapes.",['63123000'],1.23688035,0.950546324,0.068780503
071602102.png,median,63123000,"Grapes, raw",3/4 cup,0.75,22,10010,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/071602102.png,"Appears to be green table grapes — likely seedless varieties (e.g., Thompson/Perlette-style grapes).",['63123000'],1.195198486,0.981685758,0.064842778
071602100.png,smallest,63123000,"Grapes, raw",1/4 cup,0.25,22,10010,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/071602100.png,"Appears to be green grapes — likely seedless table grapes (e.g., Thompson or a similar variety).",['63123000'],1.22798419,0.950907469,0.067658084
071702154.png,largest,61119010,"Orange, raw",1 medium size,1,24,60932,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/071702154.png,Appears to be an orange — likely a navel orange (could also be a mandarin/clementine-sized variety).,['61119010'],1.162745635,0.992186368,0.058279101
072302419.png,median,61119010,"Orange, raw",3/4 medium,0.75,24,61256,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/072302419.png,"Likely halved kumquats — small oval citrus fruit sliced lengthwise. (Could possibly be a similar small orange/loquat variety, but kumquat halves are most likely.)",['61110010'],1.227812547,0.975404561,0.065275879
113129.png,smallest,61119010,"Orange, raw","1 small (2-3/8"" diameter)",0.125,24,62029,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/113129.png,Likely a whole citrus fruit — appears to be a mandarin/clementine (a small tangerine-type orange).,['61100600'],1.196609221,0.985120952,0.065951398
042908424.png,largest,74402150,"Salsa, red",1 packet,1,25,61573,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/042908424.png,"Appears to be a bottle of tomato ketchup — likely a commercial brand (e.g., Heinz-style) condiment.",['74401010'],1.044168898,0.82758826,0.070446241
113097c.png,median,74402150,"Salsa, red",1/4 cup,0.25,25,10205,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/113097c.png,Appears to be a small measuring cup filled with a red sauce—likely tomato sauce (marinara) or ketchup.,['74401010'],1.055051566,0.826322913,0.084327681
113091c.png,smallest,74402150,"Salsa, red",1 tablespoon,0.0625,25,10205,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/113091c.png,Appears to be a spoonful of a red sauce — likely tomato-based ketchup or a smooth red chili/tomato sauce.,['74401010'],1.096822442,0.784635603,0.094655957
052809113.png,largest,51301010,"Bread, wheat or cracked wheat",1 slice,19.643,26,51000,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/052809113.png,Likely a single piece of toasted bread — a small baguette/roll slice or plain toast (similar to a crouton or bruschetta base).,['51107040'],1.050560185,0.860252202,0.077409611
030309117.png,median,51301010,"Bread, wheat or cracked wheat",1 slice,4.5,26,51000,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/030309117.png,A single slice of toasted bread on a plate — likely a lightly toasted whole wheat/wholemeal slice.,['51300120'],0.895950505,0.701623023,0.062232935
030409101.png,smallest,51301010,"Bread, wheat or cracked wheat",1 slice,0.125,26,61813,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/030409101.png,Appears to be a single slice of toast — likely a lightly toasted whole wheat (brown) bread slice.,['51300120'],0.891488339,0.744462729,0.062215237
100907147.png,largest,53206000,"Cookie, chocolate chip",5 cookies,10,27,63424,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/100907147.png,Appears to be four bite-sized chocolate chip cookies — likely mini drop-style chocolate chip cookies.,['53206000'],1.032031386,0.835677564,0.069496649
100907152.png,median,53206000,"Cookie, chocolate chip",1 cup,1,27,10023,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/100907152.png,Likely mini chocolate chip cookies — bite-sized classic chocolate chip cookies with visible chocolate chips.,['53206000'],1.031064906,0.833733082,0.076232406
100907149.png,smallest,53206000,"Cookie, chocolate chip",1/4 cup,0.25,27,10023,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/100907149.png,"Appears to be mini chocolate‑chip cookies — small drop cookies with chocolate chips, likely store‑bought or homemade mini choc‑chip cookies.","['53206000', '53206020']",1.037056137,0.768667817,0.083980923
091307133.png,largest,73101010,"Carrots, raw",1 stick,6,28,61425,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/091307133.png,Appears to be a single carrot stick — likely a raw orange carrot cut into a small baton/julienne-style piece.,['73101010'],1.090748263,0.909439683,0.070591529
091307133.png,median,73101010,"Carrots, raw",1 stick,1,28,61425,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/091307133.png,Likely a single raw carrot stick — a carrot batonnet (julienne-style cut).,['73101010'],1.057697942,0.881999135,0.062383638
091307113.png,smallest,73101010,"Carrots, raw",1 whole vegetable,0.125,28,61238,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/091307113.png,Appears to be a carrot stick — likely a peeled carrot cut lengthwise (batonnet-style).,['73101010'],1.063378269,0.829648852,0.086717085
073002160.png,largest,75117020,"Onions, raw",2 cups,2,30,10010,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/073002160.png,Likely diced red radish — possibly pickled (pink-tinted) or raw pieces with the red skin still attached.,"['75125000', '75512010']",1.21034338,1.007649422,0.080059286
073002155.png,median,75117020,"Onions, raw",3/4 cup,0.75,30,10010,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/073002155.png,"Likely diced pickled red onion (or possibly small cubes of pink pickled radish/daikon) — appears to be quick‑pickled, giving the translucent pale‑pink color.",['75512010'],1.140465194,0.998790741,0.058557484
073002120.png,smallest,75117020,"Onions, raw",1 piece,0.1,30,62472,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/073002120.png,Likely a single slice of kamaboko — a pink-edged Japanese steamed fish cake (the pink outer ring with white center).,['27250050'],1.13582126,0.935528338,0.081166405
113036.png,largest,13110100,"Ice cream, vanilla",4 medium scoops,4,31,61335,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/113036.png,Appears to be vanilla ice cream — likely plain vanilla (or a custard-style “French vanilla”) scoop served in a small bowl.,['13110100'],0.973896237,0.749525189,0.096170476
113041.png,median,13110100,"Ice cream, vanilla",1-1/2 large scoops,1.5,31,60997,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/113041.png,Appears to be hummus — a creamy chickpea dip (likely plain or tahini/garlic hummus).,['41205070'],1.163560619,0.708552659,0.118681141
020212106.png,smallest,13110100,"Ice cream, vanilla",1/4 slice,0.25,31,61335,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/020212106.png,Appears to be a small pat of butter (likely a standard serving-size butter pat); cannot tell whether salted/cultured from the image.,['81101000'],1.133781936,0.876655877,0.090313456
020309403.png,largest,81101000,"Butter, stick",2 tablespoons,2,32,21000,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/020309403.png,No appropriate food codes found from the context information.,,,,
020309405.png,median,81101000,"Butter, stick",1 tablespoon,1,32,21000,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/020309405.png,Appears to be a small measuring spoon holding a white granular powder — likely granulated sugar or table salt (can't reliably distinguish between them from the image).,['91101010'],1.234217766,0.915621579,0.130339242
020309408.png,smallest,81101000,"Butter, stick",1/2 teaspoon,0.1667,32,21000,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/020309408.png,Appears to be an empty white ceramic/porcelain Asian-style soup spoon — no food visible in the image.,['41601070'],1.127259922,0.746171772,0.095852433
cp_42fo.png,largest,92410320,"Soft drink, cola, diet",42 FO,42,33,30000,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/cp_42fo.png,Likely a disposable foam (styrofoam) beverage cup with a purple hexagonal/dot pattern — no food or contents are visible in the image.,['92101000'],0.98894886,0.745174825,0.103133894
cp_42fo.png,median,92410320,"Soft drink, cola, diet",42 FO,4.2,33,30000,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/cp_42fo.png,This appears to be a disposable polystyrene (styrofoam) cup with a purple hexagonal print — not a food item. No visible food or contents inside the cup.,['92101000'],0.975478608,0.645507276,0.119729574
mug_2fo.png,smallest,92410320,"Soft drink, cola, diet",2 FO,0.1,33,30000,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/mug_2fo.png,"Appears to be a white ceramic mug (likely a coffee/tea cup), probably empty.",['92101000'],1.022221837,0.748587728,0.144547307
cp_42fo.png,largest,92103000,"Coffee, instant, reconstituted",42 FO,42,34,30000,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/cp_42fo.png,"Appears to be a disposable foam/plastic drinking cup (with a purple hexagon-ish decorative pattern) — likely the kind used for fountain soft drinks, milkshakes, or other beverages. Contents aren’t visible.",['92410550'],0.940571249,0.743653655,0.10829313
wglss_8fo.png,median,92103000,"Coffee, instant, reconstituted",8 FO,4.8,34,30000,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/wglss_8fo.png,"Not a food — appears to be an empty stemmed wine glass, likely a white-wine (or universal) wine glass.",['93401020'],1.259706412,0.937383175,0.120092514
mug_2fo.png,smallest,92103000,"Coffee, instant, reconstituted",2 FO,0.1,34,30000,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/mug_2fo.png,Appears to be a white ceramic mug (empty) — likely used for coffee or tea; contents aren’t visible so I can’t tell which beverage.,['92101000'],1.074613806,0.854887426,0.088216377
071602147.png,largest,63223020,"Strawberries, raw",2 cups,2,35,10010,0,/Volumes/My Passport/Asa24PortionImages/Asa24PortionImages/071602147.png,Fresh whole strawberries in a bowl — ripe strawberries (likely common garden/classic strawberries).,['63223020'],1.136150168,0.92126441,0.063765923
