Food code,Main food description,Food description
11440070,"Vegetable dip, yogurt based","The image shows the food category of vegetable dip, yogurt based. Additional details include greek yogurt based; regular or light; dill."
11446000,"Yogurt parfait, low fat, with fruit","The image shows the food category of yogurt parfait, low fat, with fruit. Additional details include mcDonald's Fruit 'n Yogurt Parfait; with granola."
11459990,"Frozen yogurt, not further specified subcategory assigned","The image shows the food category of frozen yogurt, not further specified subcategory assigned."
11460000,"Frozen yogurt, vanilla","The image shows the food category of frozen yogurt, vanilla. Additional details include other flavors; swirl; in a cup; scoop."
11460100,"Frozen yogurt, chocolate","The image shows the food category of frozen yogurt, chocolate. Additional details include in a cup; scoop."
11460500,"Frozen yogurt, soft serve, vanilla","The image shows the food category of frozen yogurt, soft serve, vanilla. Additional details include other flavors; swirl; not specified subcategory as to flavor; in a cup."
11460510,"Frozen yogurt, soft serve, chocolate","The image shows the food category of frozen yogurt, soft serve, chocolate. Additional details include in a cup."
11461200,Frozen yogurt sandwich,The image shows the food category of frozen yogurt sandwich. Additional details include all flavors; prepackaged frozen yogurt cone.
11461210,"Frozen yogurt bar, vanilla","The image shows the food category of frozen yogurt bar, vanilla. Additional details include frozen yogurt bar, not further specified subcategory assigned; stick; other flavors; swirl; with or without coating."
11461220,"Frozen yogurt bar, chocolate","The image shows the food category of frozen yogurt bar, chocolate. Additional details include stick; with or without coating."
11461250,"Frozen yogurt cone, chocolate","The image shows the food category of frozen yogurt cone, chocolate. Additional details include scooped or soft serve."
11461260,"Frozen yogurt cone, vanilla","The image shows the food category of frozen yogurt cone, vanilla. Additional details include other flavors; swirl; scooped or soft serve."
11461300,"Frozen yogurt cone, vanilla, waffle cone","The image shows the food category of frozen yogurt cone, vanilla, waffle cone. Additional details include other flavors; swirl; scooped or soft serve."
11461320,"Frozen yogurt cone, chocolate, waffle cone","The image shows the food category of frozen yogurt cone, chocolate, waffle cone. Additional details include scooped or soft serve."
11480000,"Baby Toddler food, not further specified subcategory assigned","The image shows the food category of baby Toddler food, not further specified subcategory assigned."
11480010,"Baby Toddler yogurt, plain","The image shows the food category of baby Toddler yogurt, plain."
11480100,"Baby Toddler yogurt, with fruit","The image shows the food category of baby Toddler yogurt, with fruit. Additional details include other flavors."
11511000,"Chocolate milk, not further specified subcategory assigned","The image shows the food category of chocolate milk, not further specified subcategory assigned. Additional details include not specified subcategory as to milk or drink."
11511100,"Chocolate milk, ready to drink, whole","The image shows the food category of chocolate milk, ready to drink, whole."
11511200,"Chocolate milk, ready to drink, reduced fat","The image shows the food category of chocolate milk, ready to drink, reduced fat. Additional details include 2% fat."
11511300,"Chocolate milk, ready to drink, fat free","The image shows the food category of chocolate milk, ready to drink, fat free. Additional details include nonfat milk; skim."
11511400,"Chocolate milk, ready to drink, low fat","The image shows the food category of chocolate milk, ready to drink, low fat. Additional details include hershey's Chocolate milk; 1% fat."
11511550,"Chocolate milk, ready to drink, reduced sugar, not specified subcategory as to milk","The image shows the food category of chocolate milk, ready to drink, reduced sugar, not specified subcategory as to milk. Additional details include truMoo; less sugar."
11511600,"Chocolate milk, ready to drink, low fat (Nesquik)","The image shows the food category of chocolate milk, ready to drink, low fat (Nesquik). Additional details include not specified subcategory as to type of milk; regular, reduced, or less sugar; 1% fat."
11511700,"Chocolate milk, ready to drink, low fat, no sugar added (Nesquik)","The image shows the food category of chocolate milk, ready to drink, low fat, no sugar added (Nesquik). Additional details include not specified subcategory as to type of milk; 1% fat."
11512010,"Hot chocolate / Cocoa, ready to drink","The image shows the food category of hot chocolate / Cocoa, ready to drink. Additional details include whole, 2%, or reduced fat milk; not specified subcategory as to milk; evaporated milk; chocolate espanol; chocolate caliente; McDonald's; Starbucks; Dunkin Donuts; made from syrup, tablet, or bar."
11512020,"Hot chocolate / Cocoa, ready to drink, made with nonfat milk","The image shows the food category of hot chocolate / Cocoa, ready to drink, made with nonfat milk. Additional details include low fat, fat free, skim, or 1% milk; chocolate espanol; chocolate caliente; Starbucks; made from syrup, tablet, or bar."
11512030,"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk","The image shows the food category of hot chocolate / Cocoa, ready to drink, made with non-dairy milk. Additional details include almond, coconut, rice, or soy milk; chocolate espanol; chocolate caliente; Starbucks; made from syrup, tablet, or bar."
11512100,"Hot chocolate / Cocoa, ready to drink, with whipped cream","The image shows the food category of hot chocolate / Cocoa, ready to drink, with whipped cream. Additional details include whole, 2%, or reduced fat milk; not specified subcategory as to milk; evaporated milk; McDonald's; Starbucks; Dunkin Donuts; made from syrup, tablet, or bar."
11513100,"Chocolate milk, made from dry mix with whole milk","The image shows the food category of chocolate milk, made from dry mix with whole milk."
11513150,"Chocolate milk, made from dry mix with reduced fat milk","The image shows the food category of chocolate milk, made from dry mix with reduced fat milk. Additional details include 2% fat."
11513300,"Chocolate milk, made from dry mix with fat free milk","The image shows the food category of chocolate milk, made from dry mix with fat free milk. Additional details include nonfat milk; skim milk."
11513310,"Chocolate milk, made from dry mix with non-dairy milk","The image shows the food category of chocolate milk, made from dry mix with non-dairy milk. Additional details include almond, coconut, rice, or soy milk."
11513380,"Chocolate milk, made from dry mix, not specified subcategory as to type of milk (Nesquik)","The image shows the food category of chocolate milk, made from dry mix, not specified subcategory as to type of milk (Nesquik). Additional details include regular, reduced, or less sugar; 25% less sugar."
11513381,"Chocolate milk, made from dry mix with whole milk (Nesquik)","The image shows the food category of chocolate milk, made from dry mix with whole milk (Nesquik). Additional details include regular, reduced, or less sugar; 25% less sugar."
11513382,"Chocolate milk, made from dry mix with reduced fat milk (Nesquik)","The image shows the food category of chocolate milk, made from dry mix with reduced fat milk (Nesquik). Additional details include regular, reduced, or less sugar; 25% less sugar; 2% fat."
11513383,"Chocolate milk, made from dry mix with low fat milk (Nesquik)","The image shows the food category of chocolate milk, made from dry mix with low fat milk (Nesquik). Additional details include regular, reduced, or less sugar; 25% less sugar; 1% fat."
11513384,"Chocolate milk, made from dry mix with fat free milk (Nesquik)","The image shows the food category of chocolate milk, made from dry mix with fat free milk (Nesquik). Additional details include nonfat milk; regular, reduced, or less sugar; 25% less sugar; skim."
11513385,"Chocolate milk, made from dry mix with non-dairy milk (Nesquik)","The image shows the food category of chocolate milk, made from dry mix with non-dairy milk (Nesquik). Additional details include almond, coconut, rice, or soy milk."
11513392,"Chocolate milk, made from no sugar added dry mix with reduced fat milk (Nesquik)","The image shows the food category of chocolate milk, made from no sugar added dry mix with reduced fat milk (Nesquik). Additional details include sugar free mix; 2% fat."
11513395,"Chocolate milk, made from no sugar added dry mix with non-dairy milk (Nesquik)","The image shows the food category of chocolate milk, made from no sugar added dry mix with non-dairy milk (Nesquik). Additional details include almond, coconut, rice, or soy milk."
11513400,"Chocolate milk, made from syrup, not specified subcategory as to type of milk","The image shows the food category of chocolate milk, made from syrup, not specified subcategory as to type of milk. Additional details include nesquik; Hershey's."
11513500,"Chocolate milk, made from syrup with whole milk","The image shows the food category of chocolate milk, made from syrup with whole milk. Additional details include nesquik; Hershey's."
11513550,"Chocolate milk, made from syrup with reduced fat milk","The image shows the food category of chocolate milk, made from syrup with reduced fat milk. Additional details include nesquik; Hershey's; 2% fat."
11513600,"Chocolate milk, made from syrup with low fat milk","The image shows the food category of chocolate milk, made from syrup with low fat milk. Additional details include nesquik; Hershey's; 1% fat."
11513700,"Chocolate milk, made from syrup with fat free milk","The image shows the food category of chocolate milk, made from syrup with fat free milk. Additional details include nonfat milk; Nesquik; Hershey's; skim."
11513750,"Chocolate milk, made from syrup with non-dairy milk","The image shows the food category of chocolate milk, made from syrup with non-dairy milk. Additional details include almond, coconut, rice, or soy milk."
11513801,"Chocolate milk, made from light syrup with whole milk","The image shows the food category of chocolate milk, made from light syrup with whole milk. Additional details include hershey's Lite."
11513802,"Chocolate milk, made from light syrup with reduced fat milk","The image shows the food category of chocolate milk, made from light syrup with reduced fat milk. Additional details include hershey's Lite; 2% fat."
11513803,"Chocolate milk, made from light syrup with low fat milk","The image shows the food category of chocolate milk, made from light syrup with low fat milk. Additional details include hershey's Lite; 1% fat."
11513804,"Chocolate milk, made from light syrup with fat free milk","The image shows the food category of chocolate milk, made from light syrup with fat free milk. Additional details include nonfat milk; Hershey's Lite; skim fat."
11513851,"Chocolate milk, made from sugar free syrup with whole milk","The image shows the food category of chocolate milk, made from sugar free syrup with whole milk. Additional details include hershey's."
11514100,"Hot chocolate / Cocoa, made with dry mix and water","The image shows the food category of hot chocolate / Cocoa, made with dry mix and water. Additional details include cocoa mix, not further specified subcategory assigned; Swiss Miss; Hershey's; Nestle's; Carnation; mint flavored."
11514110,"Hot chocolate / Cocoa, made with dry mix and whole milk","The image shows the food category of hot chocolate / Cocoa, made with dry mix and whole milk. Additional details include cocoa mix, not further specified subcategory assigned; Swiss Miss; Hershey's; Nestle's; Carnation."
11514120,"Hot chocolate / Cocoa, made with dry mix and reduced fat milk","The image shows the food category of hot chocolate / Cocoa, made with dry mix and reduced fat milk. Additional details include cocoa mix, not further specified subcategory assigned; Swiss Miss; Hershey's; Nestle's; Carnation; not specified subcategory as to type of milk; 2% fat."
11514130,"Hot chocolate / Cocoa, made with dry mix and low fat milk","The image shows the food category of hot chocolate / Cocoa, made with dry mix and low fat milk. Additional details include cocoa mix, not further specified subcategory assigned; Swiss Miss; Hershey's; Nestle's; Carnation; 1% fat."
11514140,"Hot chocolate / Cocoa, made with dry mix and fat free milk","The image shows the food category of hot chocolate / Cocoa, made with dry mix and fat free milk. Additional details include nonfat milk; cocoa mix, not further specified subcategory assigned; Swiss Miss; Hershey's; Nestle's; Carnation; skim."
11514150,"Hot chocolate / Cocoa, made with dry mix and non-dairy milk","The image shows the food category of hot chocolate / Cocoa, made with dry mix and non-dairy milk. Additional details include almond, coconut, rice, and soy milk; cocoa mix, not further specified subcategory assigned; Swiss Miss; Hershey's; Nestle's; Carnation."
11514310,"Hot chocolate / Cocoa, made with no sugar added dry mix and water","The image shows the food category of hot chocolate / Cocoa, made with no sugar added dry mix and water. Additional details include fat free, light, diet or sugar free mix; Swiss Miss; Hershey's; Nestle's; Carnation."
11514320,"Hot chocolate / Cocoa, made with no sugar added dry mix and whole milk","The image shows the food category of hot chocolate / Cocoa, made with no sugar added dry mix and whole milk. Additional details include fat free, light, diet or sugar free; Swiss Miss; Hershey's; Nestle's; Carnation."
11514330,"Hot chocolate / Cocoa, made with no sugar added dry mix and reduced fat milk","The image shows the food category of hot chocolate / Cocoa, made with no sugar added dry mix and reduced fat milk. Additional details include fat free, light, diet or sugar free mix; Swiss Miss; Hershey's; Nestle's; Carnation; not specified subcategory as to type of milk; 2% fat."
11514340,"Hot chocolate / Cocoa, made with no sugar added dry mix and low fat milk","The image shows the food category of hot chocolate / Cocoa, made with no sugar added dry mix and low fat milk. Additional details include fat free, light, diet or sugar free mix; Swiss Miss; Nestle's; Carnation; H ershey's; 1% fat."
11514350,"Hot chocolate / Cocoa, made with no sugar added dry mix and fat free milk","The image shows the food category of hot chocolate / Cocoa, made with no sugar added dry mix and fat free milk. Additional details include nonfat milk; fat free, light, diet or sugar free mix; Swiss Miss; Hershey's; Nestle's; Carnation; skim."
11514360,"Hot chocolate / Cocoa, made with no sugar added dry mix and non-dairy milk","The image shows the food category of hot chocolate / Cocoa, made with no sugar added dry mix and non-dairy milk. Additional details include almond, coconut, rice, and soy milk; fat free, light, diet or sugar free mix; Swiss Miss; Hershey's; Nestle's; Carnation."
11519040,"Strawberry milk, not further specified subcategory assigned","The image shows the food category of strawberry milk, not further specified subcategory assigned. Additional details include not specified subcategory as to milk or drink; vanilla; flavors other than chocolate."
11519050,"Strawberry milk, whole","The image shows the food category of strawberry milk, whole. Additional details include flavors other than chocolate; vanilla."
11519105,"Strawberry milk, reduced fat","The image shows the food category of strawberry milk, reduced fat. Additional details include vanilla; flavors other than chocolate; 2% fat."
11519200,"Strawberry milk, low fat","The image shows the food category of strawberry milk, low fat. Additional details include vanilla; flavors other than chocolate; 1% fat."
11519205,"Strawberry milk, fat free","The image shows the food category of strawberry milk, fat free. Additional details include nonfat milk; vanilla; flavors other than chocolate; skim."
11519210,"Strawberry milk, reduced sugar","The image shows the food category of strawberry milk, reduced sugar. Additional details include vanilla; flavors other than chocolate."
11519215,"Strawberry milk, non-dairy","The image shows the food category of strawberry milk, non-dairy. Additional details include almond, coconut, rice, or soy milk."
11526000,"Milk, malted","The image shows the food category of milk, malted. Additional details include ovaltine; not specified subcategory as to flavor; all flavors."
11531000,Eggnog,"The image shows the food category of eggnog. Additional details include eggnog, not further specified subcategory assigned; made with whole milk."
11541110,"Milk shake, home recipe, chocolate","The image shows the food category of milk shake, home recipe, chocolate. Additional details include regular ice cream and/or whole or 2% reduced fat milk; restaurant or ice cream shop; frozen mix."
11541120,"Milk shake, home recipe, flavors other than chocolate","The image shows the food category of milk shake, home recipe, flavors other than chocolate. Additional details include regular ice cream and/or whole or 2% reduced fat milk; restaurant or ice cream shop; frozen mix; not specified subcategory as to flavor."
11541130,"Milk shake, home recipe, chocolate, light","The image shows the food category of milk shake, home recipe, chocolate, light. Additional details include reduced fat ice cream and/or 1% low fat, skim, nonfat, or fat free milk; restaurant or ice cream shop."
11541135,"Milk shake, home recipe, flavors other than chocolate, light","The image shows the food category of milk shake, home recipe, flavors other than chocolate, light. Additional details include reduced fat ice cream and/or 1% low fat, skim, nonfat, fat free milk; restaurant or ice cream shop; not specified subcategory as to flavor."
11541400,Milk shake with malt,The image shows the food category of milk shake with malt. Additional details include malted milk with ice cream.
11542100,"Milk shake, fast food, chocolate","The image shows the food category of milk shake, fast food, chocolate. Additional details include burger King; Dairy Queen; McDonald's; Wendy's Frosty Shakes; Jack in the Box; Arby's; Dunkin Donuts; Sonic; from other place."
11542200,"Milk shake, fast food, flavors other than chocolate","The image shows the food category of milk shake, fast food, flavors other than chocolate. Additional details include burger King; Dairy Queen; McDonald's; Wendy's Frosty Shakes; Jack in the Box; Arby's; Dunkin Donuts; Sonic; from other place; not specified subcategory as to flavor or type."
11543000,"Milk shake, bottled, chocolate","The image shows the food category of milk shake, bottled, chocolate. Additional details include canned; reconstituted dry mix; Hershey's; Chug."
11543010,"Milk shake, bottled, flavors other than chocolate","The image shows the food category of milk shake, bottled, flavors other than chocolate. Additional details include canned; reconstituted dry mix; Hershey's; Chug."
11551050,Licuado or Batido,The image shows the food category of licuado or Batido. Additional details include milk fruit drink.
11553100,"Fruit smoothie, not further specified subcategory assigned","The image shows the food category of fruit smoothie, not further specified subcategory assigned."
11553110,"Fruit smoothie, with whole fruit and dairy","The image shows the food category of fruit smoothie, with whole fruit and dairy. Additional details include with milk, yogurt, ice cream, or sherbet; home recipe; restaurant; smoothie shop; juice bar; Jamba Juice; Smoothie King."
11553120,"Fruit smoothie, with whole fruit and dairy, added protein","The image shows the food category of fruit smoothie, with whole fruit and dairy, added protein. Additional details include with milk, yogurt, ice cream, or sherbet; home recipe; restaurant; smoothie shop; juice bar; Jamba Juice; Smoothie King."
11553130,"Fruit smoothie juice drink, with dairy","The image shows the food category of fruit smoothie juice drink, with dairy. Additional details include milk, yogurt, ice cream, or sherbet; fast food smoothie, not further specified subcategory assigned; Dairy Queen; Jack-in-the-Box; frozen mix; Orange Julius; Julius, all flavors; from other place; McDonald's Smoothies, not further specified subcategory assigned."
11560000,Chocolate milk drink,The image shows the food category of chocolate milk drink. Additional details include yoo-hoo; other flavors.
11710000,"Infant formula, not further specified subcategory assigned","The image shows the food category of infant formula, not further specified subcategory assigned."
11710030,"Infant formula, Similac, not further specified subcategory assigned","The image shows the food category of infant formula, Similac, not further specified subcategory assigned. Additional details include not specified subcategory as to variety."
11710051,"Infant formula, Similac Alimentum, ready-to-feed","The image shows the food category of infant formula, Similac Alimentum, ready-to-feed."
11710056,"Infant formula, Similac Alimentum, powder, made with water","The image shows the food category of infant formula, Similac Alimentum, powder, made with water."
11710351,"Infant formula, Similac Advance, ready-to-feed","The image shows the food category of infant formula, Similac Advance, ready-to-feed. Additional details include similac varieties Pro-Advance, Neuro Support, Supplementation, Lamehadrin."
11710357,"Infant formula, Similac Advance, powder, made with tap water","The image shows the food category of infant formula, Similac Advance, powder, made with tap water. Additional details include similac varieties Pro-Advance, Neuro Support, Supplementation, Lamehadrin."
11710358,"Infant formula, Similac Advance, powder, made with bottled water","The image shows the food category of infant formula, Similac Advance, powder, made with bottled water. Additional details include similac varieties Pro-Advance, Neuro Support, Supplementation, Lamehadrin."
11710359,"Infant formula, Similac Advance, powder, made with baby water","The image shows the food category of infant formula, Similac Advance, powder, made with baby water. Additional details include similac varieties Pro-Advance, Neuro Support, Supplementation, Lamehadrin; other water."
11710371,"Infant formula, Similac Sensitive, ready-to-feed","The image shows the food category of infant formula, Similac Sensitive, ready-to-feed. Additional details include similac varieties Pro-Sensitive, Total Comfort, Pro-Total Comfort."
11710377,"Infant formula, Similac Sensitive, powder, made with tap water","The image shows the food category of infant formula, Similac Sensitive, powder, made with tap water. Additional details include similac varieties Pro-Sensitive, Total Comfort, Pro-Total Comfort."
11710378,"Infant formula, Similac Sensitive, powder, made with bottled water","The image shows the food category of infant formula, Similac Sensitive, powder, made with bottled water. Additional details include similac varieties Pro-Sensitive, Total Comfort, Pro-Total Comfort."
11710379,"Infant formula, Similac Sensitive, powder, made with baby water","The image shows the food category of infant formula, Similac Sensitive, powder, made with baby water. Additional details include similac varieties Pro-Sensitive, Total Comfort, Pro-Total Comfort; other water."
11710381,"Infant formula, Similac for Spit-Up, ready-to-feed","The image shows the food category of infant formula, Similac for Spit-Up, ready-to-feed."
11710383,"Infant formula, Similac for Spit-Up, powder, made with water","The image shows the food category of infant formula, Similac for Spit-Up, powder, made with water."
11710481,"Toddler formula, Similac Go and Grow","The image shows the food category of toddler formula, Similac Go and Grow. Additional details include similac varieties Go and Grow Sensitive, Pure Bliss Toddler, Lamehadrin Toddler; EleCare Jr."
11710605,"Infant formula, Enfamil, not further specified subcategory assigned","The image shows the food category of infant formula, Enfamil, not further specified subcategory assigned. Additional details include not specified subcategory as to variety."
11710621,"Infant formula, Enfamil Premium Newborn, ready-to-feed","The image shows the food category of infant formula, Enfamil Premium Newborn, ready-to-feed. Additional details include enfamil Newborn."
11710629,"Infant formula, Enfamil Premium Newborn, powder, made with water","The image shows the food category of infant formula, Enfamil Premium Newborn, powder, made with water. Additional details include enfamil Newborn."
11710631,"Infant formula, Enfamil Infant, ready-to-feed","The image shows the food category of infant formula, Enfamil Infant, ready-to-feed. Additional details include enfamil varieties NeuroPro Infant, Premium Infant, Enspire, Reguline."
11710637,"Infant formula, Enfamil Infant, powder, made with tap water","The image shows the food category of infant formula, Enfamil Infant, powder, made with tap water. Additional details include enfamil varieties NeuroPro Infant, Premium Infant, Enspire, Reguline."
11710638,"Infant formula, Enfamil Infant, powder, made with bottled water","The image shows the food category of infant formula, Enfamil Infant, powder, made with bottled water. Additional details include enfamil varieties NeuroPro Infant, Premium Infant, Enspire, Reguline."
11710639,"Infant formula, Enfamil Infant, powder, made with baby water","The image shows the food category of infant formula, Enfamil Infant, powder, made with baby water. Additional details include enfamil varieties NeuroPro Infant, Premium Infant, Enspire, Reguline; other water."
11710661,"Infant formula, Enfamil AR, ready-to-feed","The image shows the food category of infant formula, Enfamil AR, ready-to-feed."
