FileName,PortionType,FoodCodeCommon,FC_Description,Portion,Multiplier,Rank,Link,GPTFoodDescription,GPTFoodCode,LabelAmount,LabelUnit,PortionShot,GPTPortionDescription,GPTPortionReason,GPTPortionAmount,GPTPortionAmountReason,PortionCode,PortionSubCode,BaseUnit,FoodCode,Portion weight (g),CalculatedWeight,CalculatedWeightGPT,Energy (kcal),Energy (kcal)_GPT,Protein (g),Protein (g)_GPT,Carbohydrate (g),Carbohydrate (g)_GPT,Total Fat (g),Total Fat (g)_GPT
052809113.png,largest,51301010,"Bread, wheat or cracked wheat",1 slice,19.643,26,https://asa24.nci.nih.gov/images/052809113.png,Toasted bread — a small slice of bread toasted (likely a baguette slice/crostini).,['51136000'],1.0,slice,"1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,3/4 slice ,1 slice ,3/4 slice ,1 slice ,1 slice ,1 slice ,3/4 slice ,1 slice ,1 slice ,1 slice ,3/4 slice ,1 slice ,3/4 slice ,1/2 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1/2 slice ,1 slice ,3/4 slice ,1/2 slice ,1 slice ,1 slice ,1 slice ,1/2 slice ,1 slice ,3/4 slice ,1 slice ,3/4 slice ,1 slice ,3/4 slice ,1 slice ,1 slice ,1/2 slice ,1 slice ,1/2 slice ,1/4 slice ,1 slice ,1 slice ,1/2 slice ,1 slice ,1/2 slice ,1/4 slice ,1 slice ,1/2 slice ,1 slice ,1 slice ,1/4 slice ,1 slice ,1/4 slice ,1 slice ,1/4 slice ,1/4 slice ,1 slice ,1 slice ,1/4 slice ,1 slice ,1/4 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1/4 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,3/4 slice ,1 slice ,1 slice ,3/4 slice ,3/4 slice ,1 slice ,1/2 slice ,1/2 slice ,1 slice ,1/2 slice ,1 slice ,1/4 slice ,1/4 slice ,1 slice ,1 slice ,1/4 slice ,1 slice ,1 slice ,1 slice ,1 slice",1 slice,,1,,90000.0,0.0,slice,51301010.0,10.0,10.0,10.0,27.400000000000002,27.400000000000002,1.067,1.067,4.754,4.754,0.45300000000000007,0.45300000000000007
073002160.png,largest,75117020,"Onions, raw",2 cups,2.0,30,https://asa24.nci.nih.gov/images/073002160.png,Diced red (purple) onion (raw).,['75117020'],2.0,cup,"2 cups ,2 cups ,1-3/4 cups ,1-3/4 cups ,1-1/2 cups ,1-1/2 cups ,1-1/4 cups ,1-1/4 cups ,1 slice ,1 slice ,1 medium whole vegetable ,1 medium whole vegetable ,1 slice ,1 whole vegetable ,1 whole vegetable ,1 whole vegetable ,1 whole vegetable ,1 medium slice ,1 slice ,1 medium slice ,1 slice ,1 medium whole vegetable ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 small whole vegetable ,1 small whole vegetable ,1 medium whole vegetable ,1 large whole vegetable ,1 whole vegetable ,1 large whole vegetable ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 whole vegetable ,1 medium whole vegetable ,1 slice ,1 slice ,1 medium slice ,1 medium slice ,1 medium slice ,1 whole vegetable ,1 cup ,1 whole vegetable ,1 whole vegetable ,1 cup ,1 slice ,1 whole vegetable ,3/4 whole vegetable ,3/4 whole vegetable ,3/4 cup ,1 small whole vegetable ,1 whole vegetable ,3/4 whole vegetable ,3/4 cup ,3/4 medium whole vegetable ,1 large whole vegetable ,3/4 medium whole vegetable ,1 medium whole vegetable ,3/4 medium whole vegetable ,1 whole vegetable ,1 slice ,1 whole vegetable ,1 slice ,1 slice ,1 slice ,1 slice ,1/2 cup ,1/2 cup ,1 large whole vegetable ,1 medium whole vegetable ,1 small whole vegetable ,1 slice ,1 whole vegetable ,1/2 whole vegetable ,1/2 whole vegetable ,1/2 whole vegetable ,1/2 medium whole vegetable ,1 medium slice ,1/2 medium whole vegetable ,1 whole vegetable ,1/2 medium whole vegetable ,1/4 medium whole vegetable ,1/4 medium whole vegetable ,1/4 medium whole vegetable ,1/4 whole vegetable ,1/4 whole vegetable ,1 small whole vegetable ,1/4 whole vegetable ,1 whole vegetable ,1 medium whole vegetable ,1/4 cup ,1 whole vegetable ,1 whole vegetable ,1/4 cup ,1 large whole vegetable ,1 large whole vegetable ,1 medium whole vegetable ,1 small whole vegetable ,1 whole vegetable ,1 whole vegetable ,1 whole vegetable ,1 piece",1/2 cup,,1,,,,cup,75117020.0,160.0,320.0,160.0,121.60000000000001,60.800000000000004,2.752,1.376,27.072000000000003,13.536000000000001,0.256,0.128
020309403.png,largest,81101000,"Butter, stick",2 tablespoons,2.0,32,https://asa24.nci.nih.gov/images/020309403.png,"The image contains plastic measuring spoons on a black background, not food.",,2.0,tablespoon,"2 tablespoons ,1-1/2 tablespoons ,1 pat ,1 tablespoon ,2 teaspoons ,1 teaspoon ,1/2 teaspoon",I can't help to analyze this image.,The image is too small/low-resolution and doesn't clearly show butter — it appears to show empty measuring spoons.,I can't help to analyze this image.,"The image shows empty measuring spoons, not a stick or measurable portions of butter, so the number of tablespoons of butter cannot be determined.",,,tablespoon,81101000.0,14.0,28.0,,208.04,,0.23800000000000002,,0.0168,,23.016,
071602147.png,largest,63223020,"Strawberries, raw",2 cups,2.0,35,https://asa24.nci.nih.gov/images/071602147.png,Fresh whole strawberries.,['63223020'],2.0,cup,"2 cups ,1-3/4 cups ,1-1/2 cups ,1-1/4 cups ,1 piece ,1 piece ,1 piece ,1 piece ,1 piece ,1 piece ,1 piece ,1 piece ,1 piece ,1 piece ,1 piece ,1 piece ,1 piece ,1 piece ,1 piece ,1 piece ,1 cup ,3/4 cup ,1/2 cup ,1 piece ,1 piece ,1 piece ,1 piece ,1/4 cup",1 cup,,1,,10010.0,0.0,cup,63223020.0,150.0,300.0,150.0,105.0,52.5,1.92,0.96,22.89,11.445,0.66,0.33
121709417.png,largest,42202000,Peanut butter,3 tablespoons,3.0,38,https://asa24.nci.nih.gov/images/121709417.png,Creamy (smooth) peanut butter.,['42202000'],3.0,tablespoon,"3 tablespoons ,2-1/2 tablespoons ,2 tablespoons ,1-1/2 tablespoons ,1 tablespoon ,2 teaspoons ,1 teaspoon",3 tablespoons,,3,,21000.0,0.0,tablespoon,42202000.0,16.0,48.0,48.0,306.72,306.72,10.8,10.8,10.704,10.704,24.528000000000002,24.528000000000002
072908421.png,largest,14010000,"Cheese, not further specified subcategory assigned",1 slice,2.5,42,https://asa24.nci.nih.gov/images/072908421.png,"A single slice of processed American cheese (cheese ""single"").",['14410500'],1.0,slice,"1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 cup ,7/8 cup ,1 slice ,1 slice ,1 slice ,1 cup ,1 slice ,1 slice ,1 slice ,3/4 cup ,7/8 cup ,3/4 cup ,5/8 cup ,1 slice ,5/8 cup ,1/2 cup ,1/2 cup ,1 slice ,3/8 cup ,3/8 cup ,1/4 cup ,1/4 cup ,1/8 cup ,1/8 cup",1 slice,,1,,,,slice,14010000.0,21.0,21.0,21.0,77.28,77.28,4.288200000000001,4.288200000000001,1.05,1.05,6.2202,6.2202
101409112.png,largest,75111000,"Cucumber, raw",6 pieces,6.0,47,https://asa24.nci.nih.gov/images/101409112.png,"Asparagus spears — thin, pale green (likely blanched or lightly steamed).",['75202011'],6.0,piece,"6 pieces ,5 pieces ,4 pieces ,3 pieces ,2 pieces ,2 cups ,1-3/4 cups ,1-1/2 cups ,1-1/4 cups ,1 whole vegetable ,1 whole vegetable ,1 whole vegetable ,1 piece ,1 whole vegetable ,1 whole vegetable ,1 whole vegetable ,1 slice ,1 whole vegetable ,1 whole vegetable ,1 whole vegetable ,1 cup ,1 whole vegetable ,1 whole vegetable ,1 whole vegetable ,3/4 cup ,1/2 cup ,1 whole vegetable ,1 whole vegetable ,1 whole vegetable ,1 whole vegetable ,1/4 cup ,1 whole vegetable ,1 whole vegetable ,1 whole vegetable ,1 whole vegetable ,1 whole vegetable",6 pieces,,6,,62251.0,0.0,piece,75111000.0,10.0,60.0,60.0,9.0,9.0,0.39,0.39,2.178,2.178,0.066,0.066
050908437.png,largest,12210400,"Coffee creamer, powder",1 packet,1.0,52,https://asa24.nci.nih.gov/images/050908437.png,Pancakes (a stack of pancakes with syrup).,['55101000'],1.0,packet,"1 packet ,6 tablespoons ,5 tablespoons ,4 tablespoons ,3 tablespoons ,2 tablespoons ,2 tablespoons ,1 tablespoon ,1 tablespoon ,2 teaspoons ,1 teaspoon",1 packet,,1,,,,packet,12210400.0,3.0,3.0,3.0,15.870000000000001,15.870000000000001,0.0744,0.0744,1.7787000000000002,1.7787000000000002,0.9876,0.9876
052809113.png,largest,51300110,"Bread, whole wheat",1 slice,19.643,58,https://asa24.nci.nih.gov/images/052809113.png,Toasted slice of bread (toast).,['51000110'],1.0,slice,"1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,3/4 slice ,1 slice ,3/4 slice ,1 slice ,1 slice ,3/4 slice ,1 slice ,1 slice ,1 slice ,1 slice ,3/4 slice ,1 slice ,3/4 slice ,1/2 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1/2 slice ,1 slice ,1 slice ,3/4 slice ,1 slice ,1/2 slice ,1 slice ,1 slice ,1 slice ,1/2 slice ,1 slice ,3/4 slice ,3/4 slice ,1 slice ,1 slice ,3/4 slice ,1/2 slice ,1 slice ,1/2 slice ,1 slice ,1 slice ,1/4 slice ,1 slice ,1/2 slice ,1/2 slice ,1 slice ,1/4 slice ,1 slice ,1 slice ,1 slice ,1/2 slice ,1/4 slice ,1/4 slice ,1 slice ,1/4 slice ,1 slice ,1 slice ,1/4 slice ,1 slice ,1/4 slice ,1 slice ,1/4 slice ,1 slice ,1 slice ,1 slice ,1/4 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,3/4 slice ,1 slice ,3/4 slice ,3/4 slice ,1 slice ,3/4 slice ,1 slice ,1/2 slice ,1 slice ,1 slice ,1 slice ,1/2 slice ,1/2 slice ,1/2 slice ,1/4 slice ,1/4 slice ,1 slice ,1/4 slice ,1/4 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice",1 slice,,1,,,,slice,51300110.0,10.0,10.0,10.0,25.400000000000002,25.400000000000002,1.23,1.23,4.3100000000000005,4.3100000000000005,0.355,0.355
070909409.png,largest,83106000,"Italian dressing, made with vinegar and oil",6 tablespoons,6.0,61,https://asa24.nci.nih.gov/images/070909409.png,Spoonfuls of a smooth caramel-colored sauce or paste — likely caramel/dulce de leche served in tasting spoons.,['13252200'],6.0,tablespoon,"6 tablespoons ,5 tablespoons ,4 tablespoons ,3 tablespoons ,2 tablespoons ,1 tablespoon ,1 packet ,2 teaspoons ,1 teaspoon",6 tablespoons,,6,,21000.0,0.0,tablespoon,83106000.0,14.7,88.19999999999999,88.19999999999999,211.67999999999998,211.67999999999998,0.36161999999999994,0.36161999999999994,10.689839999999997,10.689839999999997,18.62784,18.62784
072502418.png,largest,63149010,"Watermelon, raw",2 cups,2.0,64,https://asa24.nci.nih.gov/images/072502418.png,Diced/cubed watermelon (fresh watermelon flesh).,['63149010'],2.0,cup,"2 cups ,1-3/4 cups ,1-1/2 cups ,1-1/4 cups ,1 slice ,1 wedge ,1 wedge ,1 wedge ,1 wedge ,1 wedge ,1 wedge ,1 wedge ,1 wedge ,1 wedge ,1 cup ,8 pieces ,3/4 wedge ,1 wedge ,3/4 wedge ,1 wedge ,3/4 cup ,3/4 round slice ,3/4 wedge ,1 wedge ,7 pieces ,6 pieces ,1/2 wedge ,1 wedge ,1/2 piece ,1/2 wedge ,5 pieces ,1/2 wedge ,1 wedge ,1/2 cup ,1 wedge ,4 pieces ,3 pieces ,1 wedge ,1 wedge ,1/4 wedge ,1/4 wedge ,1/4 cup ,1/4 round slice ,1 wedge ,1/4 wedge ,2 pieces ,1 wedge ,1 wedge ,1 wedge ,1 piece",1 cup,,1,,10010.0,0.0,cup,63149010.0,155.0,310.0,155.0,93.0,46.5,1.891,0.9455,23.405,11.7025,0.465,0.2325
100907104.png,largest,91302010,Honey,3 tablespoons,3.0,65,https://asa24.nci.nih.gov/images/100907104.png,"Caramel sauce (a smooth, milk-sugar caramel like dulce de leche/crème caramel sauce).",['13252200'],3.0,tablespoon,"3 tablespoons ,2 tablespoons ,1 tablespoon ,1 individual packet ,1/2 cup ,1/3 cup ,1/4 cup",3 tablespoons,,3,,21000.0,0.0,tablespoon,91302010.0,20.0,60.0,60.0,182.4,182.4,0.18,0.18,49.44,49.44,0.0,0.0
020309403.png,largest,81101010,"Butter, tub",2 tablespoons,2.0,69,https://asa24.nci.nih.gov/images/020309403.png,The image shows measuring spoons/utensils rather than any food item.,,2.0,tablespoon,"2 tablespoons ,1-1/2 tablespoons ,1 container ,1 pat ,1 tablespoon ,2 teaspoons ,1 teaspoon ,1/2 teaspoon",I can't help to analyze this image.,The image is too small/low-resolution and doesn't clearly show the butter — it appears to show empty measuring spoons.,3,,,,tablespoon,81101010.0,14.0,28.0,42.0,204.68,307.02,0.1372,0.20579999999999998,0.0,0.0,21.924000000000003,32.886
052109121.png,largest,51101010,"Bread, white, toasted",1 slice,2.1155,72,https://asa24.nci.nih.gov/images/052109121.png,A single slice of plain white bread (sliced loaf).,['51101000'],1.0,slice,"1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,3/4 slice ,1 slice ,3/4 slice ,1 slice ,1 slice ,3/4 slice ,1 slice ,1 slice ,1 slice ,3/4 slice ,1 slice ,3/4 slice ,1 slice ,1 slice ,1/2 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1/2 slice ,3/4 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1/2 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1/2 slice ,1 slice ,3/4 slice ,3/4 slice ,1 slice ,1 slice ,3/4 slice ,3/4 slice ,3/4 slice ,1 slice ,3/4 slice ,1 slice ,1 slice ,1/2 slice ,1 slice ,3/4 slice ,1 slice ,1/2 slice ,1 slice ,1/4 slice ,1 slice ,1 slice ,1/2 slice ,1/2 slice ,1 slice ,1/4 slice ,1 slice ,1 slice ,1 slice ,1/2 slice ,1/2 slice ,1 slice ,1/2 slice ,1/2 slice ,1 slice ,1/2 slice ,1 slice ,1 slice ,1/2 slice ,1/4 slice ,1 slice ,1 slice ,1/4 slice ,1 slice ,1/4 slice ,1 slice ,1/4 slice ,1 slice ,1 slice ,1/4 slice ,1 slice ,1/4 slice ,1 slice ,1/4 slice ,1 slice ,1/4 slice ,1 slice ,1 slice ,1/4 slice ,1/4 slice ,1 slice ,1/4 slice ,1 slice ,1 slice ,1 slice ,1/4 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice ,1 slice",1 slice,,1,,61813.0,0.0,slice,51101010.0,9.0,9.0,9.0,26.37,26.37,0.9324,0.9324,4.8663,4.8663,0.3546,0.3546
