dish_id,total_calories,total_mass,total_fat,total_carbs,total_protein,ingredients,sorted_ingredients
dish_1560801020,346.339966,250,5.898491,61.690983,17.095364,"cauliflower, garlic, spinach (raw), parmesan cheese, wheat berry, chickpeas, pepper, chicken breast, cherry tomatoes, thyme, lemon juice, olive oil, parsley, kale, bulgur, salt","bulgur, cauliflower, cherry tomatoes, chicken breast, chickpeas, garlic, kale, lemon juice, olive oil, parmesan cheese, parsley, pepper, salt, spinach (raw), thyme, wheat berry"
dish_1561481634,462.057007,228,27.153999,27.759998,25.482,"scrambled eggs, bacon, yam","bacon, scrambled eggs, yam"
dish_1572035321,0,104,0,0,0,"white rice, olive oil, mozzarella cheese, basil","basil, mozzarella cheese, olive oil, white rice"
dish_1563464480,229.490005,213,10.918,25.838001,8.302,"bacon, watermelon, roasted potatoes, berries","bacon, berries, roasted potatoes, watermelon"
dish_1566417475,150.23053,198,9.395511,15.766476,2.730686,"olive oil, mustard, roasted potatoes, salt, mixed greens, celery root, cherry tomatoes, vinegar, eggplant","celery root, cherry tomatoes, eggplant, mixed greens, mustard, olive oil, roasted potatoes, salt, vinegar"
dish_1563897837,118.470001,304,0.709,29.568001,1.925,"watermelon, berries","berries, watermelon"
dish_1558115512,434.196014,126,34.397999,5.292,24.318001,sausage,sausage
dish_1562009314,99.567535,195,2.494945,17.291681,6.528783,"brussels sprouts, salt, pepper, olive oil","brussels sprouts, olive oil, pepper, salt"
dish_1573060410,0,152,0,0,0,"figs, granola, grapes, chia seeds, greek yogurt","chia seeds, figs, granola, grapes, greek yogurt"
dish_1562790321,767.469849,354,53.016029,39.829521,37.471909,"salt, pepper, walnuts, olive oil, pizza, chard, mustard, vinegar, arugula, grilled chicken, eggplant, blueberries","arugula, blueberries, chard, eggplant, grilled chicken, mustard, olive oil, pepper, pizza, salt, vinegar, walnuts"
dish_1560889032,246.868225,208,7.012973,10.744461,34.232979,"salt, thyme, carrot, garlic, olive oil, parsley, lemon juice, spinach (raw), chicken, wheat berry, pepper, shallots","carrot, chicken, garlic, lemon juice, olive oil, parsley, pepper, salt, shallots, spinach (raw), thyme, wheat berry"
dish_1562603626,201.759506,209,7.385731,28.675268,6.571293,"sweet potato, bacon, olive oil, pineapple, berries","bacon, berries, olive oil, pineapple, sweet potato"
dish_1558115641,584.526001,331,34.696999,41.082001,27.196001,"grapes, sausage, potatoes","grapes, potatoes, sausage"
dish_1564685229,591.435242,347,41.458504,14.729663,41.9048,"green beans, cherry tomatoes, steak, bell peppers, lime, olive oil, ketchup, vinegar, spinach (raw), pepper, millet, mixed greens, onions, salt, lettuce, cucumbers","bell peppers, cherry tomatoes, cucumbers, green beans, ketchup, lettuce, lime, millet, mixed greens, olive oil, onions, pepper, salt, spinach (raw), steak, vinegar"
dish_1558631825,118.832001,112,2.688,24.639999,3.472,corn on the cob,corn on the cob
dish_1563305653,25.74,117,0.351,3.861,3.627,mushroom,mushroom
dish_1563305883,83.052505,77,7.017997,4.055908,2.14745,"olive oil, spinach (raw), parmesan cheese, croutons, vinegar, apple, salt, mustard, onions, cranberries, caesar dressing, kale","apple, caesar dressing, cranberries, croutons, kale, mustard, olive oil, onions, parmesan cheese, salt, spinach (raw), vinegar"
dish_1560367926,408.523132,194,20.965912,44.984913,24.155903,"onions, fish, garlic, salt, green onions, olive oil, pizza, country rice","country rice, fish, garlic, green onions, olive oil, onions, pizza, salt"
dish_1565207662,145.937561,128,11.480614,12.175006,14.462402,"onions, chicken thighs, kale, green onions, pineapple, white rice, fish, salt, garlic, country rice, cilantro, olive oil, lemon juice, vinegar","chicken thighs, cilantro, country rice, fish, garlic, green onions, kale, lemon juice, olive oil, onions, pineapple, salt, vinegar, white rice"
dish_1559242568,116.116005,203,0.203,30.855999,0.812,pears,pears
dish_1572464284,0,72,0,0,0,"leeks, olive oil, yam, salt, salsa, parsley","leeks, olive oil, parsley, salsa, salt, yam"
dish_1565210073,364.416199,511,11.813126,49.916317,19.357193,"salt, lemon juice, olive oil, brussels sprouts, cilantro, garlic, pepper, white rice, pineapple, chicken thighs, vinegar, green beans, onions, kale, caesar salad","brussels sprouts, caesar salad, chicken thighs, cilantro, garlic, green beans, kale, lemon juice, olive oil, onions, pepper, pineapple, salt, vinegar, white rice"
dish_1560974707,55.025124,60,2.003546,7.088692,2.992605,"onions, spinach (raw), cherry tomatoes, tortilla chips, corn, cheese, salt, chili, tomatoes, garlic, lime, sour cream, black beans","black beans, cheese, cherry tomatoes, chili, corn, garlic, lime, onions, salt, sour cream, spinach (raw), tomatoes, tortilla chips"
dish_1563909580,544.311523,361,20.122177,74.144119,18.481764,"mustard greens, cucumbers, tomatoes, salt, mustard, garlic, fried rice, cheese pizza, vinegar, spinach (raw), green beans, olive oil","cheese pizza, cucumbers, fried rice, garlic, green beans, mustard, mustard greens, olive oil, salt, spinach (raw), tomatoes, vinegar"
dish_1559841571,18.799999,5,0.335,3.65,0.6,cereal,cereal
dish_1560798744,357.152008,220,14.164,39.889,19.320002,"broccoli, cheese pizza, tofu","broccoli, cheese pizza, tofu"
dish_1562614158,453.931671,301,30.739628,14.829063,31.99674,"apple, white rice, vinegar, lemon juice, cranberries, olive oil, kale, pineapple, jalapenos, spinach (raw), steak, mustard, onions, salt, cilantro, garlic, broccoli","apple, broccoli, cilantro, cranberries, garlic, jalapenos, kale, lemon juice, mustard, olive oil, onions, pineapple, salt, spinach (raw), steak, vinegar, white rice"
dish_1566328776,901.810059,436,28.684999,78.293999,77.723999,"chicken, cherry tomatoes, pizza","cherry tomatoes, chicken, pizza"
dish_1558636028,199.347992,262,5.379,38.542999,4.341,"grapes, corn on the cob, cantaloupe, almonds","almonds, cantaloupe, corn on the cob, grapes"
dish_1565724050,84.722847,72,7.981188,3.010693,1.382376,"salt, mustard, onions, olive oil, cranberries, arugula, vinegar, celery root","arugula, celery root, cranberries, mustard, olive oil, onions, salt, vinegar"
dish_1565724087,230.61496,160,12.252845,4.755569,25.147102,"cranberries, lemon juice, onions, salt, garlic, chicken, arugula, wheat berry, thyme, olive oil, mustard, parsley, shallots, celery root, vinegar, spinach (raw)","arugula, celery root, chicken, cranberries, garlic, lemon juice, mustard, olive oil, onions, parsley, salt, shallots, spinach (raw), thyme, vinegar, wheat berry"
dish_1565811025,361.050018,277,7.668,4.36,65.377998,"spinach (raw), chicken, broccoli","broccoli, chicken, spinach (raw)"
dish_1564428404,113.751038,104,9.80839,6.298835,1.598034,"olive oil, onions, mustard, pears, salt, mixed greens, garlic, cherry tomatoes, vinegar","cherry tomatoes, garlic, mixed greens, mustard, olive oil, onions, pears, salt, vinegar"
dish_1558116298,854.690979,368,62.372002,48.107002,35.868004,"cantaloupe, almonds, grapes, sausage","almonds, cantaloupe, grapes, sausage"
dish_1563823814,25.585732,85,0.920258,4.275406,0.587577,"salt, pepper, turnips, olive oil","olive oil, pepper, salt, turnips"
dish_1563568025,244.986359,247,16.967199,28.967131,19.446245,"fish, cherry tomatoes, salt, bok choy, wheat berry, olive oil, chard, parsley, kale, lemon juice, chive, garlic, shallots, corn on the cob","bok choy, chard, cherry tomatoes, chive, corn on the cob, fish, garlic, kale, lemon juice, olive oil, parsley, salt, shallots, wheat berry"
dish_1562180025,798.913696,256,55.475594,12.93051,59.066467,"bacon, garlic, chicken, flour, lemon juice, parsley, thyme, vegetable oil, buttermilk, salt","bacon, buttermilk, chicken, flour, garlic, lemon juice, parsley, salt, thyme, vegetable oil"
dish_1562180089,851.298767,437,57.796677,19.00104,60.67337,"vegetable oil, olive oil, buttermilk, flour, chicken, bacon, garlic, squash, salt, lemon juice, thyme, parsley","bacon, buttermilk, chicken, flour, garlic, lemon juice, olive oil, parsley, salt, squash, thyme, vegetable oil"
dish_1564171935,476.337524,309,21.417841,28.962877,40.716434,"salmon, salt, thyme, olive oil, wheat berry, arugula, brown rice, pepper","arugula, brown rice, olive oil, pepper, salmon, salt, thyme, wheat berry"
dish_1567024135,317.785828,147,12.219193,35.093388,15.986,"salt, cheese pizza, spinach (cooked), shallots, garlic, lemon juice, wine, eggplant, chicken thighs, squash, mushroom, olive oil, quinoa, roasted potatoes","cheese pizza, chicken thighs, eggplant, garlic, lemon juice, mushroom, olive oil, quinoa, roasted potatoes, salt, shallots, spinach (cooked), squash, wine"
dish_1560270630,120.560005,215,0.18,29.436001,1.646,"pineapple, watermelon, sweet potato","pineapple, sweet potato, watermelon"
dish_1566934455,528.042908,395,43.884827,39.282497,49.670044,"pepper, arugula, cookies, artichokes, olive oil, parsley, snow peas, onions, salt, lime, chive, garlic, fish, white beans, cheese pizza, cauliflower, bell peppers","artichokes, arugula, bell peppers, cauliflower, cheese pizza, chive, cookies, fish, garlic, lime, olive oil, onions, parsley, pepper, salt, snow peas, white beans"
dish_1564675157,208.928787,284,4.172829,42.405174,2.354732,"grapes, watermelon, sweet potato, olive oil","grapes, olive oil, sweet potato, watermelon"
dish_1558720236,887.823059,407,66.440002,60.460999,31.913002,"apple, carrot, cauliflower, almonds","almonds, apple, carrot, cauliflower"
dish_1572540910,0,266,0,0,0,"scrambled eggs, roasted potatoes","roasted potatoes, scrambled eggs"
dish_1562946106,578.963989,359,41.862,16.796,33.006001,"cantaloupe, watermelon, sausage, scrambled eggs","cantaloupe, sausage, scrambled eggs, watermelon"
dish_1560800988,314.865662,230,5.115041,61.249092,11.727562,"pepper, cauliflower, chickpeas, salt, bulgur, olive oil, kale, lemon juice, parsley","bulgur, cauliflower, chickpeas, kale, lemon juice, olive oil, parsley, pepper, salt"
dish_1566415558,169.100739,234,14.586706,12.861994,14.924493,"olive oil, parsley, lemon juice, salt, garlic, shallots, chive, cherry tomatoes, fish, chard, green beans, wheat berry","chard, cherry tomatoes, chive, fish, garlic, green beans, lemon juice, olive oil, parsley, salt, shallots, wheat berry"
dish_1558629041,172.004013,226,8.396,13.712,10.954,"eggs, strawberries, carrot, garden salad","carrot, eggs, garden salad, strawberries"
dish_1565727875,485.674011,365,22.055,27.248001,46.559998,"olives, mixed greens, broccoli, parmesan cheese, black beans, chicken","black beans, broccoli, chicken, mixed greens, olives, parmesan cheese"
dish_1558635618,220.253998,334,2.439,49.700001,5.606,"corn on the cob, apple, white rice, cauliflower","apple, cauliflower, corn on the cob, white rice"
dish_1564590288,464.855835,848,4.442219,57.084778,44.839493,"pineapple, watermelon, egg whites, berries, cantaloupe, sweet potato, olive oil","berries, cantaloupe, egg whites, olive oil, pineapple, sweet potato, watermelon"
dish_1566330466,377.425903,283,16.740232,25.28451,30.1614,"beef, bok choy, millet, fried rice, vinegar, onions, olive oil, shallots, spinach (cooked), salt, cauliflower","beef, bok choy, cauliflower, fried rice, millet, olive oil, onions, salt, shallots, spinach (cooked), vinegar"
dish_1563898880,643.618408,441,47.548229,15.853503,38.581036,"radishes, scrambled eggs, salsa, vinegar, bacon, mustard, cucumbers, olive oil, garlic, bell peppers, salt, broccoli","bacon, bell peppers, broccoli, cucumbers, garlic, mustard, olive oil, radishes, salsa, salt, scrambled eggs, vinegar"
dish_1560444815,495.119995,571,26.717999,40.627998,25.66,"honeydew melons, watermelon, scrambled eggs, bacon, pineapple","bacon, honeydew melons, pineapple, scrambled eggs, watermelon"
dish_1561749750,330.527924,315,15.101814,15.041821,32.766495,"cherry tomatoes, salt, broccoli, thyme, olive oil, arugula, brown rice, salmon, pepper","arugula, broccoli, brown rice, cherry tomatoes, olive oil, pepper, salmon, salt, thyme"
dish_1566328805,927.809998,488,28.737,85.054001,77.984001,"cherry tomatoes, pizza, chicken, pineapple","cherry tomatoes, chicken, pineapple, pizza"
dish_1565809120,365.630005,502,1.734,22.898001,63.227997,"bell peppers, onions, cherry tomatoes, tuna, lemon juice, carrot","bell peppers, carrot, cherry tomatoes, lemon juice, onions, tuna"
dish_1562012076,525.973816,438,5.869118,100.683945,15.518004,"olive oil, arugula, quinoa, white rice, salt, garlic, shallots, parsley, thyme, lemon juice","arugula, garlic, lemon juice, olive oil, parsley, quinoa, salt, shallots, thyme, white rice"
dish_1562086595,308.602997,324,15.132999,26.694,18.139999,"fruit salad, scrambled eggs, yogurt","fruit salad, scrambled eggs, yogurt"
dish_1562172643,734.269958,457,42.559998,17.648001,62.869999,"egg whites, roasted potatoes, bacon","bacon, egg whites, roasted potatoes"
dish_1560444967,197.377884,252,10.071443,23.811623,4.947491,"garlic, cucumbers, olive oil, mustard, honeydew melons, salt, bell peppers, yam, scrambled eggs, pineapple, radishes, watermelon, vinegar","bell peppers, cucumbers, garlic, honeydew melons, mustard, olive oil, pineapple, radishes, salt, scrambled eggs, vinegar, watermelon, yam"
dish_1562183096,41.18898,95,2.571043,3.28026,2.80497,"pepper, chard, blueberries, mushroom, vinegar, arugula, mustard, olive oil, walnuts, salt","arugula, blueberries, chard, mushroom, mustard, olive oil, pepper, salt, vinegar, walnuts"
dish_1561492687,105.605652,108,8.925008,9.174008,11.047231,"olive oil, fish, garlic, caesar salad, fried rice, green onions, country rice, onions, salt","caesar salad, country rice, fish, fried rice, garlic, green onions, olive oil, onions, salt"
dish_1561405864,197.121201,106,5.344729,12.694054,23.070551,"olive oil, broccoli, green onions, garlic, cheese pizza, soy sauce, salt, vinegar, white rice, spinach (raw), green beans, chicken, ginger","broccoli, cheese pizza, chicken, garlic, ginger, green beans, green onions, olive oil, salt, soy sauce, spinach (raw), vinegar, white rice"
dish_1558639012,257.436005,490,2.237,63.264,4.685,"cherry tomatoes, corn on the cob, cauliflower, apple, grapes","apple, cauliflower, cherry tomatoes, corn on the cob, grapes"
dish_1561663068,332.892792,168,15.890169,35.715992,12.027848,"lime, lettuce, mixed greens, olive oil, onions, cucumbers, vinegar, pepper, salt, cheese pizza, cherry tomatoes","cheese pizza, cherry tomatoes, cucumbers, lettuce, lime, mixed greens, olive oil, onions, pepper, salt, vinegar"
dish_1565379788,49.649929,101,1.194949,9.962658,0.897363,"carrot, olive oil, salt, pepper","carrot, olive oil, pepper, salt"
dish_1561049409,317.779999,197,22.307001,8.418,20.341999,"bacon, scrambled eggs, raspberries","bacon, raspberries, scrambled eggs"
dish_1560801829,256.89563,178,10.540594,30.348633,11.184874,"squash, olive oil, pepperoni pizza, salt, cauliflower","cauliflower, olive oil, pepperoni pizza, salt, squash"
dish_1563566674,100.893005,88,6.93334,9.706854,1.818408,"olive oil, olives, wheat berry","olive oil, olives, wheat berry"
dish_1561494032,185.437851,307,14.117637,12.507152,5.158412,"salt, walnuts, mustard, olive oil, arugula, chard, blueberries, vinegar, squash, cauliflower, pepper","arugula, blueberries, cauliflower, chard, mustard, olive oil, pepper, salt, squash, vinegar, walnuts"
dish_1567020054,122.001411,145,11.540041,7.937456,14.210079,"shallots, garlic, parsley, salt, kale, brussels sprouts, lemon juice, olive oil, wheat berry, chive, chard, pepper, fish, cherry tomatoes","brussels sprouts, chard, cherry tomatoes, chive, fish, garlic, kale, lemon juice, olive oil, parsley, pepper, salt, shallots, wheat berry"
dish_1560445069,94.527,243,0.243,22.112999,1.215,grapefruit juice,grapefruit juice
dish_1561576618,57.924408,188,2.318721,8.419776,1.749612,"salt, olive oil, squash, eggplant","eggplant, olive oil, salt, squash"
dish_1563567319,398.630829,382,45.994236,12.98934,52.497948,"fish, cherry tomatoes, salt, wheat berry, chard, kale, lemon juice, parsley, garlic, shallots, olive oil, chive","chard, cherry tomatoes, chive, fish, garlic, kale, lemon juice, olive oil, parsley, salt, shallots, wheat berry"
dish_1565119698,222.235489,308,10.575852,13.186614,19.411322,"zucchini, kale, onions, salt, shallots, spinach (cooked), bok choy, millet, beef, vinegar, chard, chayote squash, olive oil","beef, bok choy, chard, chayote squash, kale, millet, olive oil, onions, salt, shallots, spinach (cooked), vinegar, zucchini"
dish_1564160043,245,98,1.47,48.02,9.898001,bagels,bagels
dish_1559668314,551.546021,300,38.153999,32.832001,21.035,"scrambled eggs, garden salad, hash browns","garden salad, hash browns, scrambled eggs"
dish_1565798558,88.315727,109,7.178836,5.533271,1.954783,"lime, salt, mixed greens, olive oil, cucumbers, onions, vinegar, broccoli, pepper, cherry tomatoes, lettuce","broccoli, cherry tomatoes, cucumbers, lettuce, lime, mixed greens, olive oil, onions, pepper, salt, vinegar"
dish_1562947885,215.970001,313,0.626,56.340004,2.191,grapes,grapes
dish_1571944531,0,253,0,0,0,"turkey, squash, cucumbers, olive oil, seeds, salt, honey","cucumbers, honey, olive oil, salt, seeds, squash, turkey"
dish_1565118096,656.429932,588,13.032,49.997002,82.443001,"chicken breast, tuna, cheese pizza, cherry tomatoes, bell peppers, carrot, pineapple","bell peppers, carrot, cheese pizza, cherry tomatoes, chicken breast, pineapple, tuna"
dish_1560366410,58.741066,96,4.515482,3.791994,2.187943,"blueberries, mustard, walnuts, salt, pepper, asparagus, olive oil, arugula, chard, vinegar","arugula, asparagus, blueberries, chard, mustard, olive oil, pepper, salt, vinegar, walnuts"
dish_1560369102,69.738571,121,5.188934,4.877475,2.574234,"garlic, mustard, salt, olive oil, blueberries, spinach (raw), vinegar, radishes, asparagus","asparagus, blueberries, garlic, mustard, olive oil, radishes, salt, spinach (raw), vinegar"
dish_1565809080,362.740021,485,1.734,21.946001,63.159996,"onions, cherry tomatoes, tuna, carrot, bell peppers","bell peppers, carrot, cherry tomatoes, onions, tuna"
dish_1559149719,432.125,268,28.792999,8.894,31.711,"bacon, carrot, eggs","bacon, carrot, eggs"
dish_1568401199,459.643372,343,22.450722,24.832966,37.956963,"tuna salad, squash, olive oil, salt","olive oil, salt, squash, tuna salad"
dish_1563898813,626.508484,382,47.430229,11.959503,37.696037,"olive oil, mustard, cucumbers, bell peppers, broccoli, salt, garlic, scrambled eggs, radishes, bacon, vinegar","bacon, bell peppers, broccoli, cucumbers, garlic, mustard, olive oil, radishes, salt, scrambled eggs, vinegar"
dish_1561752035,454.936401,374,19.571791,26.458132,41.192177,"brown rice, arugula, wheat berry, pepper, salmon, salt, thyme, olive oil, squash","arugula, brown rice, olive oil, pepper, salmon, salt, squash, thyme, wheat berry"
dish_1561737271,762.381958,520,45.844997,46.548996,40.999001,"sausage, hash browns, pineapple, broccoli, egg whites","broccoli, egg whites, hash browns, pineapple, sausage"
dish_1561577848,413.34787,254,13.841578,6.037907,63.12289,"salt, white wine, cream, oregano, arugula, lemon juice, olive oil, pepper, chicken, mushroom, wheat berry, butter, rosemary, thyme, shallots, garlic, basil","arugula, basil, butter, chicken, cream, garlic, lemon juice, mushroom, olive oil, oregano, pepper, rosemary, salt, shallots, thyme, wheat berry, white wine"
dish_1559844063,139.810013,277,0.431,36.559998,1.339,"strawberries, pears","pears, strawberries"
dish_1559675268,39.370003,144,0.271,8.615,2.315,"cherry tomatoes, carrot, bell peppers, brussels sprouts, cucumbers","bell peppers, brussels sprouts, carrot, cherry tomatoes, cucumbers"
dish_1560798854,455.506744,372,19.443832,50.673687,23.491779,"olive oil, spinach (raw), tofu, broccoli, lemon juice, cranberries, croutons, parmesan cheese, raisins, cauliflower, sunflower seeds, carrot, cheese pizza, salt, kale, caesar dressing","broccoli, caesar dressing, carrot, cauliflower, cheese pizza, cranberries, croutons, kale, lemon juice, olive oil, parmesan cheese, raisins, salt, spinach (raw), sunflower seeds, tofu"
